"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-0.685908405093225,0.14478709370458,-4.73735874892784,2.16521672094183e-06
"2","fixed",NA,"ot1",9.04751979471991,0.350118924601477,25.8412760893124,3.04949907914072e-147
"3","fixed",NA,"ot2",0.548195402012816,0.153332191885263,3.57521401913451,0.000349941511908991
"4","fixed",NA,"ot3",-1.59143151692438,0.132739648073589,-11.9891196038286,4.05188712027468e-33
"5","fixed",NA,"Group1",-0.274040615682821,0.144771317534439,-1.8929206444338,0.0583684233919491
"6","fixed",NA,"SNR1",0.0633476479917346,0.144766891908064,0.43758380909334,0.661688010186277
"7","fixed",NA,"Condition1",0.215089974091074,0.0233300422314796,9.21944212346302,2.98649947579034e-20
"8","fixed",NA,"Group1:SNR1",-0.196738765608389,0.14478157765741,-1.35886601590932,0.174189049461138
"9","fixed",NA,"Group1:Condition1",-0.0432992808403544,0.0233341509482955,-1.8556184425265,0.0635079630650385
"10","fixed",NA,"SNR1:Condition1",0.00982215980724064,0.0233277965982778,0.421049616317633,0.673718851500894
"11","fixed",NA,"ot1:Group1",-0.763563295268579,0.348835763357951,-2.18889051947653,0.0286047983124132
"12","fixed",NA,"ot1:SNR1",0.763549764071177,0.348630939546854,2.19013769995178,0.0285142518117996
"13","fixed",NA,"ot1:Condition1",0.886288838522977,0.193968999154437,4.56922932214193,4.89520931040894e-06
"14","fixed",NA,"ot2:Group1",-0.17834865970866,0.150237250595843,-1.1871134422477,0.235182876805507
"15","fixed",NA,"ot2:SNR1",-0.191685866315465,0.149945311884186,-1.27837185375638,0.201118343404489
"16","fixed",NA,"ot2:Condition1",-0.595564534016666,0.131003358075403,-4.54617761533923,5.46289409007589e-06
"17","fixed",NA,"ot3:Group1",-0.0229931194248775,0.132479181571613,-0.173560246614661,0.862211076372443
"18","fixed",NA,"ot3:SNR1",0.0943017070641291,0.13243667861721,0.71205128404568,0.476433019500038
"19","fixed",NA,"ot3:Condition1",-0.20570507932169,0.132375977444173,-1.55394568783028,0.120197372397706
"20","fixed",NA,"Group1:SNR1:Condition1",-0.0395502402339452,0.0233264631522145,-1.6955095153459,0.0899788067207713
"21","fixed",NA,"ot1:Group1:SNR1",-0.463073427277197,0.349756511215395,-1.32398801002454,0.185507026774435
"22","fixed",NA,"ot1:Group1:Condition1",0.108056611843926,0.194051828553567,0.556844079488268,0.577633964225998
"23","fixed",NA,"ot1:SNR1:Condition1",0.112627352184397,0.193960721272524,0.58067092886374,0.561462258338904
"24","fixed",NA,"ot2:Group1:SNR1",-0.40181474897605,0.152030008753363,-2.64299628915967,0.00821759359113228
"25","fixed",NA,"ot2:Group1:Condition1",-0.130629053924134,0.131008360145793,-0.997104717429968,0.31871368346099
"26","fixed",NA,"ot2:SNR1:Condition1",0.0851229825178667,0.130980465586499,0.649890669854521,0.515762845351119
"27","fixed",NA,"ot3:Group1:SNR1",-0.355414882889039,0.132517989150845,-2.68201234539162,0.00731807591135978
"28","fixed",NA,"ot3:Group1:Condition1",-0.0320665884679594,0.132398274628342,-0.242197933152635,0.808626796488818
"29","fixed",NA,"ot3:SNR1:Condition1",0.317024487775878,0.132365975156534,2.39506026681683,0.016617633623796
"30","fixed",NA,"ot1:Group1:SNR1:Condition1",-0.195319588659066,0.193827401348784,-1.00769853642931,0.313599207837401
"31","fixed",NA,"ot2:Group1:SNR1:Condition1",-0.219256420030823,0.130890006156888,-1.67511964028802,0.0939107601927124
"32","fixed",NA,"ot3:Group1:SNR1:Condition1",0.0636810477681498,0.13233800146642,0.481200011051311,0.630374353011966
"33","ran_pars","Subject:Condition","sd__(Intercept)",0.283919656626163,NA,NA,NA
"34","ran_pars","Subject:Condition","cor__(Intercept).ot1",0.145353492201461,NA,NA,NA
"35","ran_pars","Subject:Condition","cor__(Intercept).ot2",-0.165185698967484,NA,NA,NA
"36","ran_pars","Subject:Condition","cor__(Intercept).ot3",-0.286734120951876,NA,NA,NA
"37","ran_pars","Subject:Condition","sd__ot1",2.34418835379718,NA,NA,NA
"38","ran_pars","Subject:Condition","cor__ot1.ot2",-0.176475736132009,NA,NA,NA
"39","ran_pars","Subject:Condition","cor__ot1.ot3",-0.247572608917504,NA,NA,NA
"40","ran_pars","Subject:Condition","sd__ot2",1.53069514085037,NA,NA,NA
"41","ran_pars","Subject:Condition","cor__ot2.ot3",-0.0705211857883739,NA,NA,NA
"42","ran_pars","Subject:Condition","sd__ot3",1.55676012726621,NA,NA,NA
"43","ran_pars","Subject","sd__(Intercept)",1.27657400678779,NA,NA,NA
"44","ran_pars","Subject","cor__(Intercept).ot1",0.683261814978143,NA,NA,NA
"45","ran_pars","Subject","cor__(Intercept).ot2",-0.134072670083528,NA,NA,NA
"46","ran_pars","Subject","sd__ot1",2.57358998361914,NA,NA,NA
"47","ran_pars","Subject","cor__ot1.ot2",0.0663773563139492,NA,NA,NA
"48","ran_pars","Subject","sd__ot2",0.620763420176109,NA,NA,NA
