"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",0.0712712999286146,0.138663463320073,0.513987594295848,0.607260664147837
"2","fixed",NA,"ot1",11.9345003416926,0.410534791383829,29.070618598399,8.44601973375764e-186
"3","fixed",NA,"ot2",-1.25707335607186,0.343114532042443,-3.66371353783511,0.000248584791133463
"4","fixed",NA,"ot3",-0.0302261364466808,0.158167756448414,-0.191101758824903,0.848445869690418
"5","fixed",NA,"Group1",-0.381243359876845,0.138624559415103,-2.75018626919661,0.00595613963647604
"6","fixed",NA,"SNR1",0.219342184656741,0.138628468075998,1.58223045887296,0.113596969401435
"7","fixed",NA,"Condition1",0.274788156527342,0.027485987010052,9.99739090420322,1.56465083423836e-23
"8","fixed",NA,"Group1:SNR1",-0.257254733190817,0.138644596088544,-1.85549772907502,0.0635251832167884
"9","fixed",NA,"Group1:Condition1",-0.072311090722501,0.027487810777722,-2.63066023363006,0.00852191863383601
"10","fixed",NA,"SNR1:Condition1",0.0690469885325297,0.0274922313180924,2.51150907809693,0.0120216193858187
"11","fixed",NA,"ot1:Group1",-1.41110891368697,0.409103118205367,-3.4492744026913,0.000562095189231666
"12","fixed",NA,"ot1:SNR1",2.17693084541953,0.409218757938794,5.31972399404313,1.03924791487406e-07
"13","fixed",NA,"ot1:Condition1",0.839769505098153,0.251023509198906,3.3453819037831,0.000821693431991764
"14","fixed",NA,"ot2:Group1",-0.285109140185197,0.342346052513507,-0.832809778561558,0.404952018933971
"15","fixed",NA,"ot2:SNR1",0.713187324275646,0.34235377207974,2.08318815926332,0.0372340759816468
"16","fixed",NA,"ot2:Condition1",-0.297257634476378,0.154026922561552,-1.9299069898484,0.0536183631973399
"17","fixed",NA,"ot3:Group1",-0.0447147420592502,0.157710199657027,-0.283524731795988,0.776774625884927
"18","fixed",NA,"ot3:SNR1",0.37699616514038,0.157774721467406,2.38945860042771,0.0168732254198927
"19","fixed",NA,"ot3:Condition1",0.746203122474662,0.157222865064775,4.7461488643349,2.07326150911797e-06
"20","fixed",NA,"Group1:SNR1:Condition1",-0.079982039620917,0.0274857886401499,-2.90994159447487,0.00361496303205589
"21","fixed",NA,"ot1:Group1:SNR1",-0.642569393917128,0.409943358098716,-1.56745897017898,0.117007449421034
"22","fixed",NA,"ot1:Group1:Condition1",-0.416084500955602,0.250989485472674,-1.65777662029154,0.0973625619804101
"23","fixed",NA,"ot1:SNR1:Condition1",0.675837087327903,0.251025074581594,2.69230907890131,0.00709591503876492
"24","fixed",NA,"ot2:Group1:SNR1",-0.390559244751722,0.342720851489426,-1.13958413400993,0.254459598447075
"25","fixed",NA,"ot2:Group1:Condition1",-0.313627669267478,0.154028828697699,-2.03616213873191,0.0417340767261707
"26","fixed",NA,"ot2:SNR1:Condition1",0.556162597159197,0.154033672456712,3.61065595781011,0.000305423581807253
"27","fixed",NA,"ot3:Group1:SNR1",0.190688461441164,0.157897740673004,1.20767061408477,0.227173985605558
"28","fixed",NA,"ot3:Group1:Condition1",-0.04539035300783,0.15724101326491,-0.288667390684891,0.772835919279253
"29","fixed",NA,"ot3:SNR1:Condition1",-0.0357973866107763,0.157248235515334,-0.227648892170148,0.819919207284028
"30","fixed",NA,"ot1:Group1:SNR1:Condition1",-0.661792064120012,0.250934641284095,-2.63730850684249,0.00835667925818621
"31","fixed",NA,"ot2:Group1:SNR1:Condition1",-0.204955025997307,0.153955113290884,-1.3312648187921,0.183101889954421
"32","fixed",NA,"ot3:Group1:SNR1:Condition1",0.0668500136255325,0.157200116592864,0.425254224197994,0.670651359447251
"33","ran_pars","Subject:Condition","sd__(Intercept)",0.339240844973168,NA,NA,NA
"34","ran_pars","Subject:Condition","cor__(Intercept).ot1",0.456890713068219,NA,NA,NA
"35","ran_pars","Subject:Condition","cor__(Intercept).ot2",0.0237119639304588,NA,NA,NA
"36","ran_pars","Subject:Condition","cor__(Intercept).ot3",-0.1449444352547,NA,NA,NA
"37","ran_pars","Subject:Condition","sd__ot1",3.07875084841139,NA,NA,NA
"38","ran_pars","Subject:Condition","cor__ot1.ot2",0.115099571767235,NA,NA,NA
"39","ran_pars","Subject:Condition","cor__ot1.ot3",-0.419595012634598,NA,NA,NA
"40","ran_pars","Subject:Condition","sd__ot2",1.80990526055962,NA,NA,NA
"41","ran_pars","Subject:Condition","cor__ot2.ot3",-0.205177820687782,NA,NA,NA
"42","ran_pars","Subject:Condition","sd__ot3",1.88488206256403,NA,NA,NA
"43","ran_pars","Subject","sd__(Intercept)",1.21508962201003,NA,NA,NA
"44","ran_pars","Subject","cor__(Intercept).ot1",-0.301551738433447,NA,NA,NA
"45","ran_pars","Subject","cor__(Intercept).ot2",-0.860498569589471,NA,NA,NA
"46","ran_pars","Subject","sd__ot1",2.88127604955373,NA,NA,NA
"47","ran_pars","Subject","cor__ot1.ot2",0.50214762946761,NA,NA,NA
"48","ran_pars","Subject","sd__ot2",2.73067386273042,NA,NA,NA
