"","term","estimate","std.error","statistic","p.value","group"
"1","(Intercept)",0.0292042520497369,0.145966931039162,0.200074440435427,0.841422362778408,"fixed"
"2","ot1",9.07898823568897,0.335451674889338,27.0649661793581,2.54622229388081e-161,"fixed"
"3","ot2",-1.34288337864946,0.296461663464125,-4.529703311241,5.9066571508796e-06,"fixed"
"4","ot3",0.252941460535022,0.116722559348668,2.16703148000248,0.0302324538481406,"fixed"
"5","Group1",-0.366908328994375,0.145947644117953,-2.51397226184647,0.0119379822899009,"fixed"
"6","SNR1",0.199041877145504,0.145950491071529,1.36376298348976,0.172642173994108,"fixed"
"7","Condition1",0.27665280924003,0.0274651016224981,10.0728849666229,7.28104166389938e-24,"fixed"
"8","Group1:SNR1",-0.241958142594955,0.145963253537008,-1.65766476652021,0.0973851491517375,"fixed"
"9","Group1:Condition1",-0.0647066755331748,0.0274704465075524,-2.35550141186766,0.0184977267432902,"fixed"
"10","SNR1:Condition1",0.0557183513022136,0.0274684306797835,2.02845047654003,0.0425142928570792,"fixed"
"11","ot1:Group1",-1.16025070592924,0.334350898674143,-3.47015877788927,0.000520150781920023,"fixed"
"12","ot1:SNR1",1.32419833203999,0.334299942315193,3.96110846705283,7.4602632092e-05,"fixed"
"13","ot1:Condition1",0.39396918136339,0.20014087563084,1.96845936704138,0.0490152069198494,"fixed"
"14","ot2:Group1",-0.249760528865382,0.295943236100872,-0.84394741422727,0.398698791312397,"fixed"
"15","ot2:SNR1",0.786053744238903,0.295751281164727,2.6578202506622,0.00786478277495374,"fixed"
"16","ot2:Condition1",-0.309033017333264,0.130929480080442,-2.36030126403463,0.0182600993048424,"fixed"
"17","ot3:Group1",-0.145851507286984,0.116352510177248,-1.25353124797048,0.210012434374193,"fixed"
"18","ot3:SNR1",0.449975198709837,0.116362170436269,3.86702307994751,0.000110172004682234,"fixed"
"19","ot3:Condition1",0.679774628446365,0.116066878859677,5.85674944587942,4.72014411884056e-09,"fixed"
"20","Group1:SNR1:Condition1",-0.0662339138386102,0.0274686253870574,-2.41125694880306,0.0158976439437792,"fixed"
"21","ot1:Group1:SNR1",-0.686830693883614,0.334962672187442,-2.05046935349044,0.0403186514320501,"fixed"
"22","ot1:Group1:Condition1",-0.372146816376833,0.20014380546394,-1.85939712455344,0.062970869089672,"fixed"
"23","ot1:SNR1:Condition1",0.441093022111047,0.200105750426772,2.20429958244735,0.0275032823037202,"fixed"
"24","ot2:Group1:SNR1",-0.368795475366299,0.296245093757395,-1.24489985872413,0.213168562844578,"fixed"
"25","ot2:Group1:Condition1",-0.361237880564765,0.130977345698532,-2.75801802699697,0.00581529908429352,"fixed"
"26","ot2:SNR1:Condition1",0.571770602491906,0.130911427809388,4.36761413468367,1.25611158702704e-05,"fixed"
"27","ot3:Group1:SNR1",0.1601726741892,0.116381353613274,1.37627437056147,0.168736704618567,"fixed"
"28","ot3:Group1:Condition1",-0.189468777272592,0.116117809525088,-1.63169438045294,0.102743884477491,"fixed"
"29","ot3:SNR1:Condition1",-0.0639893702206699,0.116083252386328,-0.55123688305796,0.581471299403826,"fixed"
"30","ot1:Group1:SNR1:Condition1",-0.561554678429495,0.200104091857791,-2.8063128205723,0.00501120172742838,"fixed"
"31","ot2:Group1:SNR1:Condition1",-0.0454293632142309,0.130900647447873,-0.347052242291785,0.728552071283544,"fixed"
"32","ot3:Group1:SNR1:Condition1",-0.0220898115617728,0.116087941145517,-0.190285152306069,0.849085687834007,"fixed"
"33","sd_(Intercept).Subject:Condition",0.338159312371805,NA,NA,NA,"Subject:Condition"
"34","sd_ot1.Subject:Condition",2.42866062306898,NA,NA,NA,"Subject:Condition"
"35","sd_ot2.Subject:Condition",1.51718569919264,NA,NA,NA,"Subject:Condition"
"36","sd_ot3.Subject:Condition",1.33941572384027,NA,NA,NA,"Subject:Condition"
"37","cor_(Intercept).ot1.Subject:Condition",0.388023040167111,NA,NA,NA,"Subject:Condition"
"38","cor_(Intercept).ot2.Subject:Condition",-0.0200343581160668,NA,NA,NA,"Subject:Condition"
"39","cor_(Intercept).ot3.Subject:Condition",0.0303535031518666,NA,NA,NA,"Subject:Condition"
"40","cor_ot1.ot2.Subject:Condition",0.160020090283649,NA,NA,NA,"Subject:Condition"
"41","cor_ot1.ot3.Subject:Condition",-0.152419011806926,NA,NA,NA,"Subject:Condition"
"42","cor_ot2.ot3.Subject:Condition",-0.17334002066346,NA,NA,NA,"Subject:Condition"
"43","sd_(Intercept).Subject",1.28090241162117,NA,NA,NA,"Subject"
"44","sd_ot1.Subject",2.38193017901336,NA,NA,NA,"Subject"
"45","sd_ot2.Subject",2.36264743840695,NA,NA,NA,"Subject"
"46","cor_(Intercept).ot1.Subject",-0.019977385641264,NA,NA,NA,"Subject"
"47","cor_(Intercept).ot2.Subject",-0.807040377164791,NA,NA,NA,"Subject"
"48","cor_ot1.ot2.Subject",0.314074913748168,NA,NA,NA,"Subject"
