"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",1.21733756128425,0.139709576526403,8.71334372024372,2.95040328653118e-18
"2","fixed",NA,"ot1",4.48901701541619,0.343015946787749,13.0869047268927,3.91228481927321e-39
"3","fixed",NA,"ot2",0.295727247383624,0.175412114989779,1.68589978748535,0.0918151028936745
"4","fixed",NA,"ot3",-0.00298159277641943,0.096321718390791,-0.0309545222638438,0.975305808251798
"5","fixed",NA,"Group1",-0.519933012722368,0.139683747156429,-3.72221552833992,0.000197482341422429
"6","fixed",NA,"SNR1",0.433442459003833,0.139693834580018,3.10280307149528,0.00191697153658888
"7","fixed",NA,"Condition1",0.338451070228884,0.041953469280465,8.06729636508221,7.1871939598948e-16
"8","fixed",NA,"Group1:SNR1",-0.327198030676626,0.139689188544733,-2.342328952479,0.0191638159189581
"9","fixed",NA,"Group1:Condition1",-0.110354844728277,0.0419454312586712,-2.63091453387938,0.0085155447869956
"10","fixed",NA,"SNR1:Condition1",0.142885110902638,0.041948308007694,3.40621869364625,0.000658693924399799
"11","fixed",NA,"ot1:Group1",-0.920658377237873,0.342200383983246,-2.69040720095436,0.00713648801925103
"12","fixed",NA,"ot1:SNR1",1.72478684470353,0.34233747478567,5.03826478764377,4.69771257441722e-07
"13","fixed",NA,"ot1:Condition1",0.616410623002577,0.188522158118678,3.2696985285652,0.00107662158791654
"14","fixed",NA,"ot2:Group1",0.125287217870774,0.174332465184967,0.718668308498046,0.472345314336279
"15","fixed",NA,"ot2:SNR1",-0.104475240377163,0.174307784591776,-0.599372200282628,0.548924710906369
"16","fixed",NA,"ot2:Condition1",0.20061324396125,0.117224500043425,1.71135934797704,0.0870147967781183
"17","fixed",NA,"ot3:Group1",0.0763381968500314,0.0950146309380796,0.803436229729509,0.421722641585843
"18","fixed",NA,"ot3:SNR1",-0.323824627397058,0.0953222583470365,-3.39715647753666,0.000680900192114474
"19","fixed",NA,"ot3:Condition1",-0.0397506730019856,0.0946419736635978,-0.420011031714937,0.674477394767806
"20","fixed",NA,"Group1:SNR1:Condition1",-0.148818150956373,0.0419523860381234,-3.54731077324511,0.000389185214017696
"21","fixed",NA,"ot1:Group1:SNR1",-0.440402695032386,0.342515736372595,-1.28578820843813,0.198516986557238
"22","fixed",NA,"ot1:Group1:Condition1",-0.445224906921643,0.188259797045738,-2.36494946827906,0.0180325311667035
"23","fixed",NA,"ot1:SNR1:Condition1",0.714172424524455,0.188370406880484,3.79131964702703,0.000149848945594186
"24","fixed",NA,"ot2:Group1:SNR1",0.209055950461519,0.174726469849079,1.19647555772226,0.231511031313022
"25","fixed",NA,"ot2:Group1:Condition1",0.191813698039964,0.11685668540449,1.64144393943758,0.100705295198816
"26","fixed",NA,"ot2:SNR1:Condition1",-0.164030372544916,0.116963462253055,-1.40240695158314,0.160793758684788
"27","fixed",NA,"ot3:Group1:SNR1",-0.0238977325822089,0.0951461943055709,-0.25116855967417,0.801683791291651
"28","fixed",NA,"ot3:Group1:Condition1",0.0759509911411665,0.0944718100402341,0.803954016640734,0.421423532151608
"29","fixed",NA,"ot3:SNR1:Condition1",0.0740629455369981,0.0944544185374794,0.784113085272025,0.432973758003891
"30","fixed",NA,"ot1:Group1:SNR1:Condition1",-0.401976366615689,0.188507755501634,-2.13241288426568,0.0329729191276017
"31","fixed",NA,"ot2:Group1:SNR1:Condition1",-0.0622436192807874,0.117173228214084,-0.531210245117285,0.59527309421662
"32","fixed",NA,"ot3:Group1:SNR1:Condition1",0.0243893965625443,0.0946047248056299,0.257803155314426,0.796558829197616
"33","ran_pars","Subject:Condition","sd__(Intercept)",0.51877498160697,NA,NA,NA
"34","ran_pars","Subject:Condition","cor__(Intercept).ot1",0.575022165080882,NA,NA,NA
"35","ran_pars","Subject:Condition","cor__(Intercept).ot2",-0.365575609463018,NA,NA,NA
"36","ran_pars","Subject:Condition","cor__(Intercept).ot3",-0.41100911301859,NA,NA,NA
"37","ran_pars","Subject:Condition","sd__ot1",2.22521256661432,NA,NA,NA
"38","ran_pars","Subject:Condition","cor__ot1.ot2",-0.187736026692577,NA,NA,NA
"39","ran_pars","Subject:Condition","cor__ot1.ot3",-0.669482375740467,NA,NA,NA
"40","ran_pars","Subject:Condition","sd__ot2",1.28191544985806,NA,NA,NA
"41","ran_pars","Subject:Condition","cor__ot2.ot3",0.336728672112879,NA,NA,NA
"42","ran_pars","Subject:Condition","sd__ot3",1.00971443211082,NA,NA,NA
"43","ran_pars","Subject","sd__(Intercept)",1.19075046999706,NA,NA,NA
"44","ran_pars","Subject","cor__(Intercept).ot1",-0.556142725474148,NA,NA,NA
"45","ran_pars","Subject","cor__(Intercept).ot2",-0.0965290663746039,NA,NA,NA
"46","ran_pars","Subject","sd__ot1",2.53841629688845,NA,NA,NA
"47","ran_pars","Subject","cor__ot1.ot2",0.146796006350304,NA,NA,NA
"48","ran_pars","Subject","sd__ot2",1.13806583782013,NA,NA,NA
