"","term","estimate","std.error","statistic","p.value","group"
"1","(Intercept)",-1.89073833032051,0.116897465070147,-16.174331318356,7.65240667556449e-59,"fixed"
"2","ot1",0.0986910694242547,0.0848540613943218,1.16306830577775,0.244801790055191,"fixed"
"3","ot2",0.098728902193097,0.0658084747722223,1.50024601747449,0.133550687111837,"fixed"
"4","ot3",-0.0386711023140495,0.0465240773008058,-0.831206217460646,0.405857143053662,"fixed"
"5","Group1",-0.153908582962104,0.116732092586986,-1.31847703190461,0.187344008812564,"fixed"
"6","SNR1",-0.0543993383153911,0.116733690273645,-0.466012324187381,0.641206679057248,"fixed"
"7","Condition1",0.0400500760103945,0.0394298968553184,1.01572865273657,0.309758619668414,"fixed"
"8","Group1:SNR1",-0.0930822741982463,0.116763810493871,-0.797184279996862,0.425344014391982,"fixed"
"9","Group1:Condition1",-0.0761125662569407,0.0394301226295014,-1.93031523062,0.0535677910314269,"fixed"
"10","SNR1:Condition1",-0.0279105590924129,0.0394277960264784,-0.707890420090159,0.479013309300879,"fixed"
"11","ot1:Group1",0.0463419492846857,0.0768884678257633,0.602716513869167,0.546697293820297,"fixed"
"12","ot1:SNR1",-0.0989725715498893,0.0768436949821346,-1.28797257306406,0.197755510687577,"fixed"
"13","ot1:Condition1",-0.0935891041381763,0.0733886375731461,-1.27525332576036,0.202219592197668,"fixed"
"14","ot2:Group1",-0.0340141081919793,0.0549917212199324,-0.618531434139771,0.536225083543591,"fixed"
"15","ot2:SNR1",-0.0420794856745464,0.0547632418722969,-0.768389237669167,0.442255972373767,"fixed"
"16","ot2:Condition1",0.0130711925394309,0.0495907985407434,0.2635810054297,0.792102796539406,"fixed"
"17","ot3:Group1",-0.016339448339543,0.0452614360688688,-0.361001544773818,0.718098292271616,"fixed"
"18","ot3:SNR1",0.0099245651551082,0.0451416107797282,0.219854032314794,0.82598483725907,"fixed"
"19","ot3:Condition1",0.00767732271923312,0.0451280047013283,0.170123247638448,0.864913211035678,"fixed"
"20","Group1:SNR1:Condition1",-0.0449813243580861,0.0394097925196061,-1.14137430019984,0.253714194708,"fixed"
"21","ot1:Group1:SNR1",-0.0610830820645061,0.0770649571659383,-0.792618127756568,0.428000343819298,"fixed"
"22","ot1:Group1:Condition1",-0.00137115231414636,0.0735320883242853,-0.0186469926992881,0.98512271458915,"fixed"
"23","ot1:SNR1:Condition1",0.0872151458644301,0.0733675866666242,1.18874219293498,0.234541131828106,"fixed"
"24","ot2:Group1:SNR1",0.0209151222293042,0.0550637984451573,0.379834352512665,0.704068380436222,"fixed"
"25","ot2:Group1:Condition1",0.0702032294259096,0.0498727675527727,1.40764655483825,0.159235754779897,"fixed"
"26","ot2:SNR1:Condition1",-0.0137199351563832,0.0495882421969103,-0.276677182907646,0.782027993573784,"fixed"
"27","ot3:Group1:SNR1",-0.0380139050780243,0.0451636141941192,-0.841693158449089,0.399959728766009,"fixed"
"28","ot3:Group1:Condition1",-0.00179264478976438,0.0452878057007061,-0.0395833881113924,0.968425271425789,"fixed"
"29","ot3:SNR1:Condition1",-0.0127072657322444,0.0451256204538095,-0.281597584796681,0.778252092347714,"fixed"
"30","ot1:Group1:SNR1:Condition1",-0.0718317597006678,0.0733516847499831,-0.979278934703465,0.327442175929593,"fixed"
"31","ot2:Group1:SNR1:Condition1",-0.0218378356350609,0.0496058130412744,-0.440227350308536,0.659772452603793,"fixed"
"32","ot3:Group1:SNR1:Condition1",-0.00968018709571709,0.0451403365524307,-0.21444649807769,0.830198884719226,"fixed"
"33","sd_(Intercept).Subject:Condition",0.469662602133451,NA,NA,NA,"Subject:Condition"
"34","sd_ot1.Subject:Condition",0.699317861456455,NA,NA,NA,"Subject:Condition"
"35","sd_ot2.Subject:Condition",0.271372730335393,NA,NA,NA,"Subject:Condition"
"36","sd_ot3.Subject:Condition",0.107622213931911,NA,NA,NA,"Subject:Condition"
"37","cor_(Intercept).ot1.Subject:Condition",0.168107086101475,NA,NA,NA,"Subject:Condition"
"38","cor_(Intercept).ot2.Subject:Condition",-0.912359763268011,NA,NA,NA,"Subject:Condition"
"39","cor_(Intercept).ot3.Subject:Condition",-0.698766639454346,NA,NA,NA,"Subject:Condition"
"40","cor_ot1.ot2.Subject:Condition",0.250189109259217,NA,NA,NA,"Subject:Condition"
"41","cor_ot1.ot3.Subject:Condition",-0.82263698894427,NA,NA,NA,"Subject:Condition"
"42","cor_ot2.ot3.Subject:Condition",0.344670000186769,NA,NA,NA,"Subject:Condition"
"43","sd_(Intercept).Subject",0.979741794811982,NA,NA,NA,"Subject"
"44","sd_ot1.Subject",0.192922100171329,NA,NA,NA,"Subject"
"45","sd_ot2.Subject",0.202964219675233,NA,NA,NA,"Subject"
"46","cor_(Intercept).ot1.Subject",-0.999999984130113,NA,NA,NA,"Subject"
"47","cor_(Intercept).ot2.Subject",-0.999999984987316,NA,NA,NA,"Subject"
"48","cor_ot1.ot2.Subject",0.999999999988101,NA,NA,NA,"Subject"
